entry,at,order
"""Cole Ste @ gO7Gvhk4ER"" calls 40",2020-07-22T23:00:00.862Z,159545880086340
"""Betch @ YeMPDpoUiL"" bets 40",2020-07-22T22:59:58.539Z,159545879854064
"""Cole Ste @ gO7Gvhk4ER"" checks",2020-07-22T22:59:46.660Z,159545878666223
"flop:  [Qc, 7s, 8d]",2020-07-22T22:59:44.869Z,159545878487118
"""Cole Ste @ gO7Gvhk4ER"" calls 20",2020-07-22T22:59:43.959Z,159545878396383
"""Betch @ YeMPDpoUiL"" raises to 20",2020-07-22T22:59:34.096Z,159545877409856
"""Cole Ste @ gO7Gvhk4ER"" posts a big blind of 10",2020-07-22T22:59:28.486Z,159545876848773
"""Betch @ YeMPDpoUiL"" posts a small blind of 5",2020-07-22T22:59:28.486Z,159545876848772
"Your hand is 2d, 7d",2020-07-22T22:59:28.486Z,159545876848766
"Player stacks: #1 ""Cole Ste @ gO7Gvhk4ER"" (755) | #6 ""Betch @ YeMPDpoUiL"" (1245)",2020-07-22T22:59:28.486Z,159545876848765
"-- starting hand #3  (Texas Hold'em) (dealer: ""Betch @ YeMPDpoUiL"") --",2020-07-22T22:59:28.486Z,159545876848759
"-- ending hand #2 --",2020-07-22T22:59:24.968Z,159545876497042
"""Betch @ YeMPDpoUiL"" collected 10 from pot",2020-07-22T22:59:24.968Z,159545876497041
"Uncalled bet of 5 returned to ""Betch @ YeMPDpoUiL""",2020-07-22T22:59:24.968Z,159545876497034
"""Cole Ste @ gO7Gvhk4ER"" folds",2020-07-22T22:59:23.552Z,159545876355359
"""Betch @ YeMPDpoUiL"" posts a big blind of 10",2020-07-22T22:59:21.973Z,159545876197606
"""Cole Ste @ gO7Gvhk4ER"" posts a small blind of 5",2020-07-22T22:59:21.973Z,159545876197604
"Your hand is 10h, 2s",2020-07-22T22:59:21.973Z,159545876197599
"Player stacks: #1 ""Cole Ste @ gO7Gvhk4ER"" (760) | #6 ""Betch @ YeMPDpoUiL"" (1240)",2020-07-22T22:59:21.973Z,159545876197597
"-- starting hand #2  (Texas Hold'em) (dealer: ""Cole Ste @ gO7Gvhk4ER"") --",2020-07-22T22:59:21.973Z,159545876197591
"""Betch @ YeMPDpoUiL"" shows a 9c, 6h.",2020-07-22T22:59:18.946Z,159545875894894
"-- ending hand #1 --",2020-07-22T22:59:17.430Z,159545875743282
"""Betch @ YeMPDpoUiL"" collected 480 from pot",2020-07-22T22:59:17.430Z,159545875743280
"Uncalled bet of 480 returned to ""Betch @ YeMPDpoUiL""",2020-07-22T22:59:17.430Z,159545875743274
"""Cole Ste @ gO7Gvhk4ER"" folds",2020-07-22T22:59:16.009Z,159545875602106
"""Betch @ YeMPDpoUiL"" bets 480",2020-07-22T22:59:08.838Z,159545874884372
"""Cole Ste @ gO7Gvhk4ER"" checks",2020-07-22T22:59:05.133Z,159545874513614
"river: 5d, 5c, 5s, 8c [10d]",2020-07-22T22:59:02.477Z,159545874249514
"""Cole Ste @ gO7Gvhk4ER"" calls 160",2020-07-22T22:59:01.565Z,159545874156664
"""Betch @ YeMPDpoUiL"" bets 160",2020-07-22T22:58:57.116Z,159545873711797
"""Cole Ste @ gO7Gvhk4ER"" checks",2020-07-22T22:58:51.016Z,159545873101881
"turn: 5d, 5c, 5s [8c]",2020-07-22T22:58:49.287Z,159545872928936
"""Cole Ste @ gO7Gvhk4ER"" calls 60",2020-07-22T22:58:48.370Z,159545872837168
"""Betch @ YeMPDpoUiL"" bets 60",2020-07-22T22:58:44.370Z,159545872437164
"""Cole Ste @ gO7Gvhk4ER"" checks",2020-07-22T22:58:33.689Z,159545871369348
"flop:  [5d, 5c, 5s]",2020-07-22T22:58:31.869Z,159545871187204
"""Cole Ste @ gO7Gvhk4ER"" calls 20",2020-07-22T22:58:30.955Z,159545871095637
"""Betch @ YeMPDpoUiL"" raises to 20",2020-07-22T22:58:01.866Z,159545868186854
"""Cole Ste @ gO7Gvhk4ER"" posts a big blind of 10",2020-07-22T22:57:45.463Z,159545866546643
"""Betch @ YeMPDpoUiL"" posts a small blind of 5",2020-07-22T22:57:45.463Z,159545866546638
"Your hand is Qh, 3s",2020-07-22T22:57:45.463Z,159545866546507
"Player stacks: #1 ""Cole Ste @ gO7Gvhk4ER"" (1000) | #6 ""Betch @ YeMPDpoUiL"" (1000)",2020-07-22T22:57:45.463Z,159545866546505
"-- starting hand #1  (Texas Hold'em) (dealer: ""Betch @ YeMPDpoUiL"") --",2020-07-22T22:57:45.463Z,159545866546499
"The admin approved the player ""Betch @ YeMPDpoUiL"" participation with a stack of 1000.",2020-07-22T22:57:14.749Z,159545863475035
"The player ""Betch @ YeMPDpoUiL"" requested a seat.",2020-07-22T22:56:37.223Z,159545859722460
"The player ""Cole Ste @ gO7Gvhk4ER"" created the game with a stack of 1000.",2020-07-22T22:55:36.487Z,159545853649534
